district_id,illiterate,only_literate,below_primary,primary,middle,secondary,intermediate,non_tech_diploma,tech_diploma,graduate,unknown
471,532419,63637,344944,364618,212779,232426,130206,2037,38748,109050,4200
472,849855,57161,308849,378715,283755,246226,161461,1768,40686,94428,5685
473,361259,55065,198640,240395,168177,152180,91188,1083,17736,102667,3363
474,1778465,176210,833938,1203459,852447,925512,510982,7269,88967,817630,19346
475,662642,29305,287754,344845,182568,123572,54220,576,13684,51354,5748
476,1079502,184502,476390,686445,446580,465528,193600,1711,27941,235446,6913
477,763585,76219,294164,411491,246005,181312,75617,938,15190,90774,4824
478,191771,34246,76928,106917,84282,45755,21215,188,2976,20139,1032
479,900264,108080,359032,488501,333921,272232,131032,1345,22817,120266,5592
480,518731,42092,244204,316854,142287,131969,63353,605,10301,39366,4428
481,993110,148944,458646,600982,275001,203732,87503,997,18628,86679,6143
482,541492,123468,334597,404152,222710,221220,112152,1184,24972,102580,4218
483,639642,152631,366731,431365,260744,224185,114584,1152,26967,76635,5249
484,949971,72683,318957,380188,266810,201974,102604,1042,31804,58453,6290
485,1119915,57160,271338,268006,156909,122075,72098,632,17693,35731,5529
486,1272546,126732,565029,659567,424318,471544,238706,3547,63906,329911,9820
487,219961,30533,93286,104423,62787,39223,22344,172,3347,12738,1483
488,432743,118539,211440,274615,169142,166216,72178,1297,24570,76699,3580
489,87323,3203,53011,44070,18886,10043,6003,46,1485,3577,644
490,327763,78337,184063,212681,158194,168326,91706,1352,27163,77062,3025
491,535021,96006,222289,243905,172070,203583,110248,1494,21259,92899,6904
492,1509912,302294,751130,1088946,735271,857050,419262,3998,57768,344596,11095
493,316986,55990,110486,119478,76544,55348,36053,426,8794,24481,2436
300,397837,35646,117370,122495,99644,40679,55999,56,348,16045,1023
301,1026917,39455,286680,243457,172867,44485,98210,355,604,34286,1942
302,444606,26220,164213,147362,117108,33049,57020,130,413,17392,670
303,796564,31638,240056,211230,190831,42199,135111,311,1167,43859,656
304,417521,23853,153069,137322,121173,33348,53036,109,481,17055,456
305,1113052,77885,475069,446853,382834,93742,162658,336,2207,65768,3364
306,815538,61991,263132,270932,239784,89371,127285,133,1713,50494,3737
307,358651,28859,152626,133590,160960,51058,114683,67,698,39697,1248
308,263105,14826,78447,85908,97826,42012,78394,10,318,24578,709
309,529607,27049,184643,197115,195767,64772,87605,93,1557,38369,1352
310,441804,34552,169578,183509,217204,91299,123105,119,2827,60620,1718
311,337545,38466,144279,151788,207229,79713,140314,84,2226,48305,1101
312,297327,52936,133547,139639,188187,89204,124165,169,3398,61466,2218
313,345124,39062,163216,157941,196792,53985,75450,59,1145,33157,957
314,399099,23061,131868,149831,137175,51117,47221,26,797,14943,1175
315,73229,4239,31069,33714,33122,14974,17642,9,410,5551,143
316,562489,78194,300959,282987,236061,85657,137662,182,2459,48158,1809
317,433389,53674,248499,208752,153625,39399,67272,120,640,21740,1576
318,251930,18022,121492,100618,84358,19986,50103,52,429,11748,558
319,304726,16854,113799,105903,96563,25398,53722,132,1109,20343,255
320,222260,13309,62400,67840,58456,22322,28397,46,187,6336,609
321,522223,46121,208862,203889,232482,76734,172744,212,1614,50501,2160
322,252747,37952,123431,150269,177438,104765,199289,438,7763,197982,1864
323,239868,22017,99140,98580,122733,43420,108567,130,879,35719,586
324,377238,30352,129019,134220,141562,49597,73405,74,385,12919,1304
325,441461,22139,133807,101439,110387,28304,67803,181,595,21872,512
326,361742,22291,120169,116207,112843,34926,50376,50,302,12442,320
327,531238,33986,284449,307084,281899,138323,146908,642,2278,118181,1835
328,1374066,56998,705495,659315,542311,203352,192681,290,3111,126164,9063
329,968582,41436,523632,529992,398771,130427,142600,145,1228,75445,6828
330,1517467,51903,502768,363064,288775,102340,112341,2989,1076,55135,9276
331,592591,38961,329931,258688,227317,81353,89959,205,592,52654,4025
332,1902413,50026,673848,547788,404291,144756,167313,799,1555,86740,9316
333,3047973,113867,1291873,1123027,756896,292923,301141,675,3055,157303,15074
334,1343957,80846,628345,530720,437861,160697,189175,450,2469,116411,11473
335,2470355,165704,1238117,1238499,1061185,494833,561926,2138,15371,448206,21229
336,1687045,85533,892841,917036,768163,291536,303384,434,4342,206514,10772
337,2401088,238691,1599291,1637963,1545327,811325,771645,3088,26347,945363,29653
338,1440757,128542,922768,1017213,820020,379228,397902,1017,11945,387856,11897
339,1363682,86965,609936,518579,494434,181689,200669,365,4690,128167,7498
340,1305210,50189,457860,391092,374219,131272,131979,533,2734,78501,6526
341,1244823,157077,827106,898201,688347,348969,352120,1060,9100,312823,10403
